Epoch,Test Loss
1,162.33764817979602
2,131.9571295844184
3,124.41722954644098
4,119.86902703179254
5,115.19206068250868
6,113.15846167670355
7,109.30181969536676
8,108.70935821533203
9,106.99647691514757
10,106.34766727023654
11,107.14248572455512
12,105.07345496283637
13,105.04409874810113
14,105.79881371392145
15,105.36281840006511
16,104.03508673773871
17,103.56028662787543
18,103.16911146375868
19,102.78749508327908
20,103.84287685818143
21,102.16955227322049
22,102.34281582302518
23,102.1741926405165
24,103.57885148790147
25,103.09707811143663
26,103.73112911648221
27,103.21800316704645
28,102.24062008327908
29,104.01365322536893
30,102.11116875542535
31,102.23395368787978
32,102.30793084038629
33,102.41242980957031
34,104.03726620144315
35,102.2849875556098
36,102.09087541368272
37,102.97791798909505
38,103.13150702582465
39,104.48752678765192
40,102.81890021430121
41,101.46276770697699
42,101.62305535210504
43,101.54522111680772
44,103.14247555202908
45,103.00025346544054
46,102.51314544677734
47,101.69810316297743
48,101.3115463256836
49,103.21361965603299
50,101.96600172254774
51,102.28595394558377
52,102.10739644368489
53,101.61288536919488
54,102.19392818874783
55,104.93508656819661
56,102.20960913764105
57,101.17408243815105
58,102.25508880615234
59,103.44156901041667
60,101.75056627061632
61,101.80673726399739
62,101.75200059678819
63,102.27262624104817
64,101.53477986653645
65,101.4444842868381
66,102.5672624376085
67,102.01024712456598
68,101.67023468017578
69,101.30643886990018
70,102.00181070963542
71,102.25920698377821
72,102.03268263075087
73,101.99593692355685
74,102.15157402886285
75,101.44173516167535
76,102.05382961697049
77,101.55717383490668
78,101.1445575290256
79,101.6496336195204
80,101.17016177707248
81,102.81066131591797
82,101.49111768934462
83,101.83984798855252
84,102.58418528238933
85,102.2586203681098
86,101.1319825914171
87,102.79320695665147
88,101.30676015218098
89,101.6063724093967
90,101.01531558566623
91,103.11485883924696
92,100.89155409071181
93,101.20928276909723
94,101.78215620252821
95,100.44987911648221
96,101.74260711669922
97,101.41183302137587
98,100.91596221923828
99,104.47507646348741
100,100.96167500813802
